coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"-3.436,55.3781",Wed Apr 08 12:29:53 +0000 2020,StayAtHome CovidUnitedKingdom,,https://corona-scanner.com/country/united-kingdom https://twitter.com/neilellis/status/1241890008656687104,0,1247864237374013440,neilellis,1247864235696312300,14292054,en,"Scotland, United Kingdom",false,0,,,"<a href=""http://google.com"" rel=""nofollow"">t_client_cli_neilellis</a>","🇬🇧 United Kingdom

Notes: Locked-down, Low Testing Rate, Little PPE, 'Herd Immunity'

🔮: 10📆 19,067💀
🔮: 188📆 8,762,225🤧 122,671💀

🦠x2: 6.2📆

❤️ Every Life Counts, Pls #StayAtHome

📈: https://t.co/CSTVfCJnYp

🕗 08/04 #CovidUnitedKingdom https://t.co/e98nivciYk",https://twitter.com/neilellis/status/1247864237374013440,Thu Apr 03 10:13:37 +0000 2008,neilellis,false,"I am a computer programmer, who also spends a lot of time on his allotment.

The end of the world, is not the end of the world.",32584,552,260,60,UK,Neil Ellis,neilellis,34706,,,false
"-0.12731805,51.50711486",Wed Apr 08 09:53:11 +0000 2020,throwback walk colour green flowers flower Covid19 Covid_19 coronadays corona StaySafeStayHome stayhome LockdownLondon leaves streetphotography plants park wander wanderlust,,https://www.instagram.com/p/B-ty4hInYnT/?igshid=1kbnpy5ubk2xj,0,1247824803513298944,,,,en,"London, England",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",I just like the blue #throwback #walk #colour #green #flowers #flower #Covid19 #Covid_19 #coronadays #corona #StaySafeStayHome #stayhome. #LockdownLondon #leaves #streetphotography #plants #park #wander #wanderlust… https://t.co/hzf2lU17mE,https://twitter.com/colson_alicia/status/1247824803513298944,Wed Jun 01 18:04:31 +0000 2016,colson_alicia,false,"Archaeologist & Ethnohistorian uses #DH & #computing, Polyglot; Fellow @RGS_IBG & @explorersclub, Alumni: @mcgillu @UCL Rep @Pastpreservers",15153,1781,3411,44,"London, England","Dr Alicia Colson FRGS, FI'10",colson_alicia,8599,,https://www.researchgate.net/profile/Alicia_Colson,false
"-117.566,33.8753",Wed Apr 08 08:41:38 +0000 2020,face,,https://www.instagram.com/p/B-tqsqCATiD/?igshid=1x86uarpqspeb,0,1247806800306393090,,,,en,"Corona, CA",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","12 more #face masks made today. 
😷😷😷 @ Corona, California https://t.co/8Nvp0EPune",https://twitter.com/RockinReddRobin/status/1247806800306393090,Wed Feb 11 03:46:22 +0000 2009,RockinReddRobin,false,https://t.co/HJQSom9P4Q Arts & Crafts Supplies!  Use coupon code:  liquid for 50% off your entire order.,35,117,46,7,"Corona, CA",Robin Redd,RockinReddRobin,2571,,http://ReddRobinStudios.com,false
"28.05546,-26.18938",Wed Apr 08 10:17:13 +0000 2020,onelove,,https://www.instagram.com/p/B-t1oj8AlGQ/?igshid=1utxkpvb74s7z,0,1247830851964076032,,,,en,"Johannesburg, South Africa",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Stay home✊
Stay safe
Throw back nyana
Together we can conquer this corona virus
Keep the faith #onelove❤️ @ Kai One Productions https://t.co/ksYfYsHltz",https://twitter.com/Kai_1production/status/1247830851964076032,Sun Mar 17 18:34:18 +0000 2013,Kai_1production,false,"A South African independent Record label.
Entertainment Company which consists of 12 members
We do music , events ,catering ,video and music",497,126,603,2,United States of Africa,Kai One Productions,Kai_1production,706,,https://www.youtube.com/channel/UCXxgl26MlD8xSnykM2qllNA?view_as=subscriber,false
"78.46666667,17.36666667",Wed Apr 08 06:52:47 +0000 2020,,,https://www.instagram.com/p/B-tePCIhyrx/?igshid=xy5v9hbem03j,0,1247779403339141120,,,,en,"Hyderabad, India",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Dear Friends, WE are SAFE at our homes from CORONA VIRUS but there are Lakhs of Homeless and Uncared people in Hyderabad who are sleeping Hungry on the Streets and its our social responsibility to take care of them..… https://t.co/yrMJrWZy1L",https://twitter.com/saiakshaya11/status/1247779403339141120,Wed Nov 06 16:44:03 +0000 2019,saiakshaya11,false,"Social workers are responsible for helping individuals, families, groups of people to cope with problems they're facing to improve their patients' lives.",52,22,74,0,India,sai akshaya,saiakshaya11,87,,http://www.saiakshayapunyaassociation.com/,false
"-86.78836,36.15201",Wed Apr 08 12:21:48 +0000 2020,,,https://www.instagram.com/p/B-uD5IcF_0t/?igshid=o6hdfs5ifjcw,0,1247862203593752576,,,,en,"Nashville, TN",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",*CORONA Viiiiruusss* We Going Live Around 8:30am.  Contests &amp; Conversations with the KSMS on Facebook &amp; Instagram @ 92Q https://t.co/CaJk0Embzq,https://twitter.com/kennysmoov/status/1247862203593752576,Sat Feb 21 04:34:27 +0000 2009,kennysmoov,false,Asia's Daddy/Vice Pres-Urban Formats-CUMULUS/92Q-PD/Morning Man /Westwood One Afternoon Drive/Blogger/Red Carpet Host/Mr. Nashville,1478,2768,825,54,Walking Towards Gethsemane,Kenny Smoov,kennysmoov,33299,,http://www.kennyonline.net,false
"101.70120633,3.15912673",Wed Apr 08 07:19:49 +0000 2020,,,https://www.instagram.com/p/B-thVNVpLOWl9qG2yVaskstWwTpRYbp738Q2_U0/?igshid=15y5pils81300,0,1247786206416388097,,,,en,"Bandar Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","I should be lining up outside Bestari Hall with my friends right now tapi Ms Corona ni dengki betul sampai gambar pun kena recycle je 😤 Anyway, all praises to Allah for this opportunity… https://t.co/MP3PAI0s6c",https://twitter.com/jiminsipsul/status/1247786206416388097,Mon May 04 12:31:31 +0000 2015,jiminsipsul,false,+60 • ArMY 6기 • pjm & bangtan ㅡ thats all,7714,770,225,6,awan/shira/sarrah,191026,jiminsipsul,41513,,,false
"-3.1867,51.4853",Wed Apr 08 11:45:57 +0000 2020,,,https://www.instagram.com/p/B-t_ySjFf_e/?igshid=1xjlhrsdofxdn,1,1247853181511454721,,,,en,"Cardiff, Wales",false,1,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","🦄 LOOK OUT! WE'RE COMING BACK! 🦄

As most of you will know, our house was hit with the Corona of late and we have been a bit lax on the insta front.

I have woken up today (still coughing) with a sense of… https://t.co/Nfu3E4izUn",https://twitter.com/our_trans_life/status/1247853181511454721,Fri Sep 16 09:49:33 +0000 2011,our_trans_life,false,"LGBTQ+ family challenging society's misconceptions🌈
Winner @Vuelio Blog Newcomer Award 2019|  
MADS Newcomer Award Finalist 2020
hello@ourtransitionallife.com",11698,6740,5363,113,"Cardiff, Wales",Kelly & Zoey - Our Transitional Life,our_trans_life,21316,,http://www.ourtransitionallife.com,false
"5.2913,52.1326",Wed Apr 08 07:01:22 +0000 2020,CovidNetherlands,,https://corona-scanner.com/country/netherlands https://twitter.com/neilellis/status/1241890008656687104,0,1247781566429843463,neilellis,1247781563636449300,14292054,en,"Soest, Nederland",false,0,,,"<a href=""http://google.com"" rel=""nofollow"">t_client_cli_neilellis</a>","🇳🇱 Netherlands

Notes: In Lock-down, 'Herd Immunity'

🔮: 10📆 4,081💀
🔮: 113📆 622,137🤧 8,710💀

🦠x2: 11.0📆

📈: https://t.co/oDNOGq3Yoo

🕗 08/04 #CovidNetherlands

3/3 https://t.co/e98nivtTPS",https://twitter.com/neilellis/status/1247781566429843463,Thu Apr 03 10:13:37 +0000 2008,neilellis,false,"I am a computer programmer, who also spends a lot of time on his allotment.

The end of the world, is not the end of the world.",32584,552,260,60,UK,Neil Ellis,neilellis,34706,,,false
"55.34199566,25.22721796",Wed Apr 08 11:29:43 +0000 2020,,,https://www.instagram.com/p/B-t96JanSVd/?igshid=1od1pd4c69401,4,1247849097391943680,,,,en,"دبي, الامارات العربية المتحدة",false,1,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Happy bday to the one and only Badman Coleone.....weather 5G or 10G....corona or Bentley... I shall live to a good old age, I will be taken care of by my children, my grand children and my great grand children, that… https://t.co/0jHeG2HKX3",https://twitter.com/cribx_coleone/status/1247849097391943680,Sun Aug 26 11:33:20 +0000 2012,cribx_coleone,false,Owner and Artist at Don Coleone Cribx Recordx-DCCR,1051,1013,419,3,Worldwide ,Don Coleone,cribx_coleone,1372,,,false
